"odontologia" -- "materiais dentários"
"marketing" -- "crm"
"marketing" -- "medical tourism"
"health systems research" -- "public health"
"service management" -- "networks"
"ruminant nutrition" -- "dairy science"
"synchrophasors" -- "smart grid"
"dyes" -- "textiles"
"motor neuron disease" -- "amyotrophic lateral sclerosis"
"ethnomusicology" -- "popular music studies"
"ethnomusicology" -- "popular music"
"cardiac electrophysiology" -- "cardiology"
"cardiac electrophysiology" -- "sudden cardiac death"
"gene regulatory networks" -- "bioinformatics"
"child obesity" -- "nutrition"
"computational logic" -- "knowledge representation"
"systems biology" -- "network inference"
"systems biology" -- "metabolic networks"
"systems biology" -- "physical biology"
"systems biology" -- "gene networks"
"systems biology" -- "evolutionary systems biology"
"systems biology" -- "metabolic modeling"
"systems biology" -- "synthetic biology"
"systems biology" -- "cellular signaling"
"systems biology" -- "systems medicine"
"systems biology" -- "bioinformatics"
"systems biology" -- "cancer metabolism"
"systems biology" -- "postharvest"
"systems biology" -- "cell cycle"
"systems biology" -- "quantitative biology"
"systems biology" -- "systems pharmacology"
"systems biology" -- "live cell imaging"
"systems biology" -- "network biology"
"systems biology" -- "cell differentiation"
"systems biology" -- "circadian clock"
"gas turbines" -- "combustion"
"gas turbines" -- "orc"
"energy applications" -- "materials science"
"computer architecture" -- "high performance computing"
"computer architecture" -- "network-on-chip"
"computer architecture" -- "performance modeling"
"computer architecture" -- "reconfigurable computing"
"computer architecture" -- "reconfigurable hardware"
"computer architecture" -- "embedded systems"
"computer architecture" -- "approximate computing"
"computer architecture" -- "vlsi design"
"computer architecture" -- "parallel processing"
"computer architecture" -- "compiler optimization"
"computer architecture" -- "gpus"
"computer architecture" -- "programming models"
"computer architecture" -- "microprocessors"
"computer architecture" -- "computer engineering"
"computer architecture" -- "interconnection networks"
"computer architecture" -- "digital systems"
"computer architecture" -- "multicore systems"
"computer architecture" -- "cache"
"computer architecture" -- "vlsi"
"computer architecture" -- "heterogeneous systems"
"computer architecture" -- "heterogeneous architectures"
"computer architecture" -- "hardware security"
"computer architecture" -- "electronic design automation"
"computer architecture" -- "computer systems"
"computer architecture" -- "transactional memory"
"computer architecture" -- "digital design"
"computer architecture" -- "parallel programming"
"computer architecture" -- "stochastic computing"
"computer architecture" -- "microarchitecture"
"computer architecture" -- "memory systems"
"computer architecture" -- "compilers"
"computer architecture" -- "computer arithmetic"
"computer architecture" -- "non-volatile memory"
"computer architecture" -- "design space exploration"
"solid mechanics" -- "soft materials"
"solid mechanics" -- "mechanics of materials"
"solid mechanics" -- "computational mechanics"
"solid mechanics" -- "experimental mechanics"
"solid mechanics" -- "nanomechanics"
"solid mechanics" -- "active materials"
"algorithm engineering" -- "data structures"
"discurso" -- "prensa"
"discurso" -- "metodologia"
"capability approach" -- "economic evaluation"
"infection biology" -- "microbiology"
"damping" -- "structural dynamics"
"targeted drug delivery" -- "biomaterials"
"lung transplantation" -- "interstitial lung disease"
"lung transplantation" -- "lung cancer"
"microstructure" -- "mechanical properties"
"microstructure" -- "materials science"
"mating systems" -- "sexual selection"
"learning memory" -- "neuroscience"
"structural health monitoring" -- "model updating"
"structural health monitoring" -- "intelligent structures"
"structural health monitoring" -- "fiber optic sensors"
"structural health monitoring" -- "structural dynamics"
"structural health monitoring" -- "damage detection"
"structural health monitoring" -- "nondestructive evaluation"
"structural health monitoring" -- "acoustic emission"
"structural health monitoring" -- "multifunctional composites"
"structural health monitoring" -- "non-destructive testing"
"structural health monitoring" -- "wave propagation"
"structural health monitoring" -- "structural control"
"structural health monitoring" -- "smart structures"
"structural health monitoring" -- "guided waves"
"structural health monitoring" -- "wireless sensors"
"proteases" -- "cancer"
"proteases" -- "pharmaceutical biotechnology"
"coaching" -- "leadership"
"aging" -- "proteostasis"
"aging" -- "social gerontology"
"aging" -- "health"
"aging" -- "cognitive impairment"
"aging" -- "social relationships"
"aging" -- "falls prevention"
"aging" -- "adult development"
"aging" -- "life course"
"aging" -- "cognitive decline"
"aging" -- "telomeres"
"aging" -- "disability"
"aging" -- "cognitive function"
"aging" -- "home care"
"aging" -- "longevity"
"aging" -- "senescence"
"aging" -- "dementia"
"aging" -- "stress response"
"aging" -- "falls"
"aging" -- "cognition"
"aging" -- "alzheimer"
"aging" -- "gerontology"
"aging" -- "retirement"
"aging" -- "sarcopenia"
"aging" -- "cross-cultural studies"
"aging" -- "frailty"
"cancer modeling" -- "mathematical biology"
"radiochemistry" -- "pet imaging"
"radiochemistry" -- "pet"
"mass" -- "heat transfer"
"traffic safety" -- "transportation engineering"
"traffic safety" -- "intelligent transportation systems"
"traffic safety" -- "traffic management"
"traffic safety" -- "driver behavior"
"traffic safety" -- "evacuation"
"traffic safety" -- "traffic operations"
"forest ecology" -- "silviculture"
"forest ecology" -- "disturbance ecology"
"forest ecology" -- "plant functional ecology"
"forest ecology" -- "fire ecology"
"forest ecology" -- "succession"
"forest ecology" -- "forest management"
"forest ecology" -- "tree physiology"
"forest ecology" -- "ecological restoration"
"forest ecology" -- "climate change"
"forest ecology" -- "forest dynamics"
"forest ecology" -- "dendrochronology"
"forest ecology" -- "forest soils"
"animal physiology" -- "ecology"
"web technologies" -- "software engineering"
"collaborative learning" -- "mobile learning"
"mycotoxins" -- "poultry nutrition"
"mycotoxins" -- "food safety"
"markov chain monte carlo" -- "bayesian inference"
"energy systems" -- "optimization"
"energy systems" -- "environmental systems"
"intuition" -- "decision making"
"statistical computing" -- "machine learning"
"point clouds" -- "laser scanning"
"domestic violence" -- "intimate partner violence"
"linear programming" -- "optimization"
"tidal energy" -- "renewable energy"
"tidal energy" -- "ocean energy"
"morfologia" -- "biomecânica"
"morfologia" -- "histologia"
"educational management" -- "educational leadership"
"electrochromism" -- "organic electronics"
"dilbilim" -- "türk dili"
"natural systems" -- "ecosystem services"
"natural systems" -- "coupled human"
"electrical capacitance tomography" -- "sensor design"
"electrical capacitance tomography" -- "sensor networks"
"ranking" -- "databases"
"family business" -- "entrepreneurship"
"quantitative research methods" -- "interpersonal communication"
"rock" -- "tunnelling"
"socio-technical systems" -- "requirements engineering"
"community development" -- "housing"
"protein degradation" -- "cell biology"
"middle eastern politics" -- "comparative politics"
"acute lung injury" -- "pulmonary hypertension"
"electrochemistry" -- "metal-air batteries"
"electrochemistry" -- "electroanalytical chemistry"
"electrochemistry" -- "energy materials"
"electrochemistry" -- "oxygen reduction reaction"
"electrochemistry" -- "corrosion"
"electrochemistry" -- "photoelectrochemistry"
"electrochemistry" -- "energy storage"
"electrochemistry" -- "bioelectrochemistry"
"electrochemistry" -- "electrochemical engineering"
"electrochemistry" -- "surface analysis"
"electrochemistry" -- "inorganic synthesis"
"electrochemistry" -- "nanomaterials"
"electrochemistry" -- "solid oxide fuel cells"
"electrochemistry" -- "corrosion science"
"electrochemistry" -- "chemical sensors"
"electrochemistry" -- "electrocatalysis"
"electrochemistry" -- "electrodeposition"
"electrochemistry" -- "conducting polymers"
"electrochemistry" -- "fuel cells"
"electrochemistry" -- "electrocatalyst"
"electrochemistry" -- "rechargeable batteries"
"electrochemistry" -- "catalysis"
"electrochemistry" -- "electrolysis"
"electrochemistry" -- "materials science"
"laparoscopic surgery" -- "liver transplantation"
"macroeconometrics" -- "macroeconomics"
"digital manufacturing" -- "industrial robotics"
"digital manufacturing" -- "robotics"
"supply chain risk" -- "supply chain management"
"philosophy of logic" -- "philosophy of language"
"sharing economy" -- "network science"
"economics of innovation" -- "economics of science"
"economics of innovation" -- "industrial economics"
"economics of innovation" -- "entrepreneurship"
"hope" -- "positive psychology"
"microsensors" -- "mems"
"ecological modelling" -- "conservation biology"
"ecological modelling" -- "environmental impact assessment"
"dance" -- "music"
"radiology" -- "mr imaging"
"radiology" -- "mri"
"radiology" -- "interventional radiology"
"radiology" -- "abdominal imaging"
"radiology" -- "breast imaging"
"radiology" -- "diagnostic imaging"
"radiology" -- "neuroradiology"
"multimedia processing" -- "computer vision"
"historical ecology" -- "archaeology"
"thermal physiology" -- "exercise physiology"
"exercise science" -- "sport"
"environmental remediation" -- "environmental chemistry"
"creativity" -- "innovation"
"creativity" -- "giftedness"
"creativity" -- "improvisation"
"creativity" -- "virtual teams"
"flow assurance" -- "gas hydrates"
"flow assurance" -- "multiphase flow"
"turfgrass science" -- "agriculture"
"medicinal inorganic chemistry" -- "organometallic chemistry"
"derechos humanos" -- "antropología social"
"derechos humanos" -- "filosofía del derecho"
"bibliography" -- "library science"
"melanoma" -- "cancer"
"melanoma" -- "skin cancer"
"eating behavior" -- "obesity"
"sports biomechanics" -- "injury biomechanics"
"sports biomechanics" -- "biomechanics"
"papua new guinea" -- "anthropology"
"conservation biology" -- "freshwater ecology"
"conservation biology" -- "tropical ecology"
"conservation biology" -- "amphibians"
"conservation biology" -- "plant ecology"
"conservation biology" -- "herpetology"
"conservation biology" -- "foraging ecology"
"conservation biology" -- "seed biology"
"conservation biology" -- "fisheries science"
"conservation biology" -- "community ecology"
"conservation biology" -- "wildlife management"
"conservation biology" -- "landscape genetics"
"conservation biology" -- "population modelling"
"conservation biology" -- "conservation planning"
"conservation biology" -- "applied ecology"
"conservation biology" -- "citizen science"
"conservation biology" -- "population ecology"
"conservation biology" -- "animal migration"
"conservation biology" -- "disease ecology"
"conservation biology" -- "spatial ecology"
"conservation biology" -- "stream ecology"
"conservation biology" -- "pollination biology"
"conservation biology" -- "ecology"
"conservation biology" -- "wildlife disease"
"conservation biology" -- "wildlife disease ecology"
"conservation biology" -- "mammalogy"
"conservation biology" -- "human-wildlife conflict"
"conservation biology" -- "movement ecology"
"conservation biology" -- "telemetry"
"conservation biology" -- "bioeconomics"
