"None 6115" -- "Euscorpiidae 6096"
"None 6115" -- "Plesiochactas 6116"
"Phyllangia 18951" -- "Genus group 1 18926"
"Timahocoris 30201" -- "Enicocephalidae 10899"
"Paraspadella caecafea 68988" -- "Paraspadella 59551"
"None 7311" -- "None 7310"
"None 7311" -- "None 7312"
"None 7311" -- "Orconectes (Procericambarus) putnami 7315"
"Thitarodes cingulatus 28361" -- "Thitarodes 11817"
"Hymenochaetales sensu Oberwinkler 1977 (pro parte) 23113" -- "Porodaedalea 23847"
"Hymenochaetales sensu Oberwinkler 1977 (pro parte) 23113" -- "Mensularia 23843"
"Hymenochaetales sensu Oberwinkler 1977 (pro parte) 23113" -- "Hymenochaetoid clade 20547"
"Hymenochaetales sensu Oberwinkler 1977 (pro parte) 23113" -- "Onnia 23848"
"Hymenochaetales sensu Oberwinkler 1977 (pro parte) 23113" -- "Pseudochaete 23851"
"Hymenochaetales sensu Oberwinkler 1977 (pro parte) 23113" -- "Phylloporia 23840"
"Hymenochaetales sensu Oberwinkler 1977 (pro parte) 23113" -- "Pseudoinonotus 23845"
"Hymenochaetales sensu Oberwinkler 1977 (pro parte) 23113" -- "Phellinus s. str. 23844"
"Morion germanus 28957" -- "Morion 28918"
"Solobacterium 59852" -- "Erysipelotrichaceae 59848"
"None 6857" -- "None 6856"
"Paraponera 22218" -- "Paraponera dieteri 22934"
"Paraponera 22218" -- "Paraponera clavata 22933"
"Paraponera 22218" -- "None 22231"
"None 6362" -- "None 6360"
"None 6362" -- "Tetrasquillidae 6364"
"None 6362" -- "Nannosquillidae 6363"
"Pourtalopsammia 19041" -- "None 19040"
"Tamgrinia 60646" -- "Amaurobiidae 2693"
"Sergestoidea 6649" -- "Dendrobranchiata 6647"
"Anguilliformes 68835" -- "Moringuidae 68844"
