"geomicrobiology" -- "biogeochemistry"
"phonetics" -- "speech technology"
"phonetics" -- "phonology"
"phonetics" -- "prosody"
"phonetics" -- "forensic phonetics"
"phonetics" -- "linguistics"
"pharmaceutical policy" -- "pharmacoeconomics"
"food safety" -- "food microbiology"
"food safety" -- "food engineering"
"plant evolution" -- "phylogenetics"
"dentistry" -- "oral medicine"
"dentistry" -- "prosthodontics"
"dentistry" -- "periodontics"
"social dilemmas" -- "cooperation"
"spin glasses" -- "statistical mechanics"
"biological control" -- "entomology"
"biological control" -- "pest management"
"contracts" -- "law"
"contracts" -- "commercial law"
"hemostasis" -- "hematology"
"hemostasis" -- "thrombosis"
"sensor networks" -- "wireless ad hoc"
"sensor networks" -- "ad hoc"
"disasters" -- "natural hazards"
"mems" -- "sensors"
"mems" -- "inertial sensors"
